"tokenizer","n_of_tokens","vocab_size"
"BERTabaporu","22764","64000"
"Bloom","24117","250680"
"TeenyTinyLlama","25263","32000"
"XGLM","25454","256008"
"XLM","26078","250002"
"RoBERTa Crawl","26300","50265"
"RoBERTa Lex","26382","50265"
"LegalBert-pt","26559","36345"
"BERTimbau","26777","29794"
"GlórIA","27064","50258"
"GPorTuguese-2","27190","50257"
"PTT5","27958","32100"
"DeBERTinha","28143","50270"
"mBERT","28162","119547"
"PolyLM","28620","256000"
"Llama3","29088","128256"
"Cabrita","29843","52000"
"mT5","30303","250100"
"mGPT","30533","100000"
"Lola-v1","30533","100000"
"Gervásio PT-BR","33755","32000"
"Gervásio PT","33755","32000"
"Sabiá","33755","32000"
"Bode","33755","32000"
"Granite-3.0","34717","49152"
"Albertina PT-BR","36792","50265"
"Albertina PT","36792","50265"
"Sabiá 2 (medium)","38119","64000"
